Simulation,Mean,Std
332,0.35725225277678735,0.05629074913700243
333,0.3571030241660791,0.055479869059054304
334,0.3558644244467109,0.055409519692400155
335,0.3551835119805791,0.0558576021645604
336,0.35616957701294355,0.05516722459030435
337,0.35672545224049823,0.0556600476114013
338,0.3558500210522799,0.05522109648940129
339,0.3555837136190608,0.05495584340172363
340,0.35578423453583946,0.05568778578243604
341,0.35565309154534813,0.05485056984473734
342,0.35630755958151916,0.055292194684985654
343,0.3560045589449471,0.05474172017786664
344,0.3552817616074065,0.055209868343196015
345,0.35533230150494666,0.05547918057799675
346,0.35730306415556934,0.05555490616135863
347,0.3557782044974833,0.05493239981836022
348,0.3550937307755378,0.05488593381864895
349,0.3551666267609659,0.05531324847665477
350,0.3551346246645804,0.05517200687303918
351,0.35553959476113467,0.05542458208160723
352,0.35527736435449847,0.055433313165832866
353,0.357484353134478,0.055612567554594365
354,0.3550046438722022,0.055756284113078265
355,0.35508585514584506,0.055803403576789694
356,0.3563201759092536,0.05562620133664162
357,0.3567992436134688,0.055219246676379556
358,0.35699129957058107,0.054900326479129145
359,0.35708161153044926,0.05551741071336749
360,0.35527041788059566,0.0551097477109469
361,0.35570580701911514,0.05547578533981397
362,0.3552906156848132,0.0555345411776836
363,0.3554125062019215,0.05550601401460328
364,0.3565693243516889,0.05489195386242521
365,0.3567868778276454,0.05529633211388924
366,0.3569988567752439,0.05482259147861691
367,0.35618752073896187,0.055167182038114417
368,0.35632261387752207,0.05535649082901347
369,0.35664389902212473,0.055627383547557245
370,0.3552182302130607,0.054403706883159826
371,0.357408983012776,0.05572194534550426
372,0.3552697533239525,0.054962496948281724
373,0.35712764203762315,0.055984405986758246
374,0.3560673515321504,0.05541918805339698
375,0.3566136592806231,0.05508341526906473
376,0.35723941341899196,0.05507221305464892
377,0.35568471478688085,0.05506069217933057
378,0.3547323424453164,0.054795961645580545
379,0.35693986621576407,0.05538793816145791
380,0.3559731603119503,0.055664317961166616
381,0.35634838957447906,0.05487444498975064
382,0.35621548795975294,0.0556418187297016
383,0.35605917908693874,0.0554347484004196
384,0.3557618824948096,0.055112946928816575
385,0.35471520994575917,0.055047923524705236
386,0.356778511310867,0.05580956211927466
387,0.35650156823189555,0.05552573341258802
388,0.3554778691406047,0.0554554181361943
389,0.3564741839454747,0.055091018459150654
390,0.354926619627189,0.054564589356515515
391,0.3557837703967935,0.05504437064382701
392,0.3558675611558332,0.05562685306202521
393,0.35634187054390676,0.05513782768312327
394,0.3563082480173369,0.055375292705688264
395,0.35641106415732327,0.05579312031145697
396,0.35542823367853155,0.05455457193582766
397,0.3551554785624524,0.055034513947141386
398,0.35594836246901895,0.055345285811982184
399,0.3569997868622454,0.05568597411070513
400,0.3560994176345295,0.055638074507653006
401,0.3562412145766092,0.05492092493347758
402,0.3543488041476992,0.055140597992622824
403,0.35461766744080847,0.05477280756811299
404,0.3563965658113048,0.05524600547857117
405,0.35646275826939355,0.05547809970857967
406,0.3567887392856385,0.05511853838141087
407,0.3563291157408235,0.055195598328306346
408,0.35550990830916995,0.0552154835175462
409,0.3556821898479177,0.05453767584676721
410,0.3568411476163255,0.05578018877323059
411,0.35571697802101493,0.055478139340708145
412,0.35589662882598144,0.05545053260072985
413,0.35485594316993124,0.05567126624042095
414,0.3555709275327948,0.055599895045373424
415,0.35605421932439413,0.055515742725350925
416,0.3563915218370647,0.055491652754119165
417,0.35729429037869515,0.055998120453038036
418,0.3561600293446994,0.05585958630557638
419,0.35637764414868855,0.056447849441699414
420,0.35520112835165996,0.05597971159088577
421,0.3566120451513013,0.055938915549302595
422,0.3553605340348545,0.055399412180244335
423,0.3567694971486953,0.0557632742784833
424,0.35500576233226966,0.05569601754926977
425,0.35517491971660275,0.055055169667327805
426,0.3557977421914211,0.05577385323962687
427,0.35667199694722534,0.05604121854816306
428,0.3565758888555934,0.054748919895280794
429,0.35685966295662136,0.055773152302272706
430,0.3575260629031452,0.055079244185123624
431,0.354579528987325,0.055466694817447856
432,0.3551268820791223,0.05535515991855849
433,0.3559964771893793,0.05561271238131531
434,0.35604036609101103,0.05542496712862859
435,0.3567006399504968,0.055276407009729515
436,0.35441656592583776,0.05460886229095443
437,0.3555797151218141,0.055287224503921234
438,0.35553851756523064,0.055562283673672185
439,0.3578598274714022,0.0562854450335587
440,0.3563319730636347,0.055209337508772605
441,0.3556238396951827,0.05523890124790463
442,0.3562920017183852,0.055032369009368934
443,0.35634164884561614,0.05505539361334911
444,0.35650146757761164,0.05513945900114227
445,0.3558835744879872,0.05593201452837535
446,0.35718906156200897,0.05561271351603041
447,0.3577654192285903,0.055338739552896234
448,0.3560402975350686,0.05521995774995506
449,0.355040220035342,0.05582419277764884
450,0.355288703742151,0.055861241930553064
