Country,HDI_2023,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_per_Capita,Year,ISO3,CO2_per_capita,Innovation_Score_Mean,Innovation_Best_Rank,generation_twh,generation_share_pct,generation_kwh_per_capita
Malawi,0.517,67.353,9.902591705,5.243740082,1633.692615,2023,MWI,0.087780796,19.6605153344032,15.0,,,
Benin,0.515,60.774,10.4464798,3.194200039,3805.527516,2023,BEN,0.4200842,23.187886952722007,21.0,,,
Guinea-Bissau,0.514,64.085,10.63534621,3.673035,2403.059237,2023,GNB,0.15294452,,,,,
Djibouti,0.513,65.987,6.207350016,3.95041503,6367.606026,2023,DJI,0.48359296,,,,,
Sudan,0.511,66.331,8.620371878,3.962,2810.312012,2023,SDN,0.35400742,,,,,
Liberia,0.51,62.163,10.46585369,6.169891955,1537.85939,2023,LBR,0.15182881,,,,,
Eritrea,0.503,68.624,7.336672297,5.09136442,2029.070062,2023,ERI,0.21064918,,,,,
Guinea,0.5,60.74,10.39330626,2.486339025,3494.347723,2023,GIN,0.26899692,14.917207400927122,32.0,,,
Ethiopia,0.497,67.315,9.217651571,2.402539813,2795.506984,2023,ETH,0.13653299,17.657235027908204,16.0,,,
Afghanistan,0.496,66.035,10.79014324,2.514790058,1971.549458,2023,AFG,0.2536818,,,,,
Mozambique,0.493,63.611,10.84830885,4.590489864,1355.767076,2023,MOZ,0.27035564,20.0554276403366,1.0,,,
Madagascar,0.487,63.632,9.062584503,4.592520237,1655.764683,2023,MDG,0.14254327,17.41442075107169,17.0,,,
Yemen,0.47,69.295,7.494902735,5.484149933,1018.20058,2023,YEM,0.2574502,,,,,
Sierra Leone,0.467,61.786,9.064124575,3.535297609,1713.727772,2023,SLE,0.1631619,,,,,
Burkina Faso,0.459,61.092,8.733340263,2.266550064,2390.527778,2023,BFA,0.273973,17.934116722898302,17.0,,,
Burundi,0.439,63.651,9.829423879,3.473935556,858.9155681,2023,BDI,0.06579634,19.399739581922677,2.0,,,
Mali,0.419,60.439,7.011331533,1.629999995,2341.588118,2023,MLI,0.28368795,22.10629140330996,22.0,,,
Niger,0.419,61.183,8.308919801,1.412289341,1590.18796,2023,NER,0.11977888,14.515185749451629,26.0,,,
Chad,0.416,55.069,8.347590231,2.334984892,1748.000992,2023,TCD,0.14743946,,,,,
Central African Republic,0.414,57.408,7.435767778,3.989431459,1099.860681,2023,CAF,0.075552724,,,,,
Somalia,0.404,58.816,7.486165162,1.899999976,1474.738459,2023,SOM,0.07061636,,,,,
South Sudan,0.388,57.617,5.634770141,5.730000019,688.3472771,2023,SSD,0.1451047,,,,,
Other countries or territories,,,,,,2023,,,,,,,
Korea (Democratic People's Rep. of),..,73.642,12.20215329,..,..,2023,,,,,,,
Monaco,..,86.372,21.6872406,..,..,2023,,,,,,,
,,,,,,2023,,,,,,,
Human development groups,,,,,,2023,,,,,,,
Very high human development,0.914,80.00734097651696,16.377017501662163,12.526769617189315,53014.29175128398,2023,,,,,,,
Developing countries,0.712,72.02037604430481,12.654804615352214,7.75558473138864,13300.966251258846,2023,,,,,,,
Regions,,,,,,2023,,,,,,,
Arab States,0.719,72.46851707157701,11.965759666595003,8.071574176777197,15824.501228365296,2023,,,,,,,
East Asia and the Pacific,0.775,75.91241428453144,14.590005501364358,8.25822787813953,19519.80012176473,2023,,,,,,,
Europe and Central Asia,0.818,74.78936325946322,15.55734509317559,10.696732323275505,23171.472177407966,2023,,,,,,,
Latin America and the Caribbean,0.783,75.61125553519801,14.772934084286774,9.12951795301269,18047.95616324888,2023,,,,,,,
South Asia,0.672,71.86941510683957,12.148221229449977,6.793585591787748,8722.022591586345,2023,,,,,,,
Sub-Saharan Africa,0.568,62.506276568679844,10.34560970495754,6.163414190646486,4351.5549195905705,2023,,,,,,,
Least developed countries,0.56,66.51610026074621,10.170740695382651,5.051676057051539,3637.195380667065,2023,,,,,,,
Small island developing states,0.739,71.86289126876027,12.613778929194082,8.604207589827041,19343.12171683203,2023,,,,,,,
Organisation for Economic Co-operation and Development,0.916,80.57029927450297,16.504431287757832,12.347757577738268,52697.597733953444,2023,,,,,,,
World,0.756,73.3833980346371,13.040365957534462,8.775209151620453,20327.308722627044,2023,OWID_WRL,4.707772,,,682.64,2.3,84.38
Notes,,,,,,2023,,,,,,,
a. Data refer to 2023 or the most recent year available.,,,,,,2023,,,,,,,
b. Based on countries for which a Human Development Index (HDI) value is calculated.,,,,,,2023,,,,,,,
"c. In calculating the HDI value, expected years of schooling is capped at 18 years.",,,,,,2023,,,,,,,
d. Updated by HDRO based on data from Barro and Lee (2018) and UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
e. Updated by HDRO based on data from UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
"f. In calculating the HDI value, GNI per capita is capped at $75,000.",,,,,,2023,,,,,,,
"g. In calculating the HDI value, life expectancy is capped at 85 years.",,,,,,2023,,,,,,,
h. Updated by HDRO using the mean years of schooling trend of Austria and data from UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
i. Estimated using the purchasing power parity (PPP) rate and projected growth rate of Switzerland.,,,,,,2023,,,,,,,
j. Updated by HDRO based on data from Eurostat (2024) and UNESCO Institute for Statistics (2024) .,,,,,,2023,,,,,,,
k. Refers to 2015 based on UNESCO Institute for Statistics (2024).,,,,,,2023,,,,,,,
